sample_id,device_id,cache_index,victim_clean_correct,evaluator_clean_correct,dual_clean_correct,selected
wifib|device=1|capture=23Jan|frame=2579|row=2245,1,2245,True,True,True,False
wifib|device=1|capture=23Jan|frame=2428|row=2124,1,2124,True,True,True,False
wifib|device=1|capture=23Jan|frame=2642|row=2302,1,2302,True,True,True,False
wifib|device=1|capture=23Jan|frame=2471|row=2161,1,2161,True,True,True,False
wifib|device=1|capture=23Jan|frame=2469|row=2159,1,2159,True,True,True,False
wifib|device=1|capture=23Jan|frame=2402|row=2100,1,2100,True,True,True,False
wifib|device=1|capture=23Jan|frame=2279|row=1981,1,1981,True,True,True,False
wifib|device=1|capture=23Jan|frame=2308|row=2008,1,2008,True,True,True,False
wifib|device=1|capture=23Jan|frame=2624|row=2284,1,2284,True,True,True,False
wifib|device=1|capture=23Jan|frame=2229|row=1939,1,1939,True,True,True,False
wifib|device=1|capture=23Jan|frame=2715|row=2365,1,2365,False,True,False,False
wifib|device=1|capture=23Jan|frame=2645|row=2305,1,2305,True,True,True,False
wifib|device=1|capture=23Jan|frame=2434|row=2130,1,2130,True,True,True,False
wifib|device=1|capture=23Jan|frame=2643|row=2303,1,2303,True,True,True,False
wifib|device=1|capture=23Jan|frame=2520|row=2202,1,2202,True,True,True,False
wifib|device=1|capture=23Jan|frame=2192|row=1912,1,1912,True,True,True,False
wifib|device=1|capture=23Jan|frame=2427|row=2123,1,2123,True,False,False,False
wifib|device=1|capture=23Jan|frame=2626|row=2286,1,2286,True,True,True,False
wifib|device=1|capture=23Jan|frame=2551|row=2223,1,2223,True,True,True,False
wifib|device=1|capture=23Jan|frame=2655|row=2315,1,2315,False,False,False,False
wifib|device=1|capture=23Jan|frame=2575|row=2241,1,2241,True,True,True,False
wifib|device=1|capture=23Jan|frame=2496|row=2178,1,2178,True,True,True,False
wifib|device=1|capture=23Jan|frame=2673|row=2333,1,2333,True,True,True,False
wifib|device=1|capture=23Jan|frame=2225|row=1935,1,1935,True,True,True,False
wifib|device=1|capture=23Jan|frame=2343|row=2043,1,2043,True,True,True,False
wifib|device=1|capture=23Jan|frame=2563|row=2231,1,2231,True,True,True,False
wifib|device=1|capture=23Jan|frame=2547|row=2219,1,2219,True,True,True,False
wifib|device=1|capture=23Jan|frame=2753|row=2399,1,2399,True,True,True,False
wifib|device=1|capture=23Jan|frame=2377|row=2075,1,2075,True,True,True,False
wifib|device=1|capture=23Jan|frame=2340|row=2040,1,2040,True,True,True,False
wifib|device=1|capture=23Jan|frame=2401|row=2099,1,2099,True,True,True,False
wifib|device=1|capture=23Jan|frame=2247|row=1953,1,1953,True,True,True,False
wifib|device=1|capture=23Jan|frame=2453|row=2145,1,2145,True,True,True,False
wifib|device=1|capture=23Jan|frame=2483|row=2171,1,2171,True,True,True,False
wifib|device=1|capture=23Jan|frame=2632|row=2292,1,2292,False,True,False,False
wifib|device=1|capture=23Jan|frame=2509|row=2191,1,2191,True,True,True,False
wifib|device=1|capture=23Jan|frame=2661|row=2321,1,2321,False,True,False,False
wifib|device=1|capture=23Jan|frame=2191|row=1911,1,1911,True,True,True,False
wifib|device=1|capture=23Jan|frame=2678|row=2336,1,2336,False,True,False,False
wifib|device=1|capture=23Jan|frame=2183|row=1903,1,1903,True,True,True,False
wifib|device=1|capture=23Jan|frame=2275|row=1979,1,1979,True,True,True,False
wifib|device=1|capture=23Jan|frame=2719|row=2369,1,2369,True,True,True,False
wifib|device=1|capture=23Jan|frame=2273|row=1977,1,1977,True,True,True,False
wifib|device=1|capture=23Jan|frame=2355|row=2055,1,2055,True,True,True,False
wifib|device=1|capture=23Jan|frame=2336|row=2036,1,2036,True,True,True,False
wifib|device=1|capture=23Jan|frame=2219|row=1929,1,1929,True,True,True,False
wifib|device=1|capture=23Jan|frame=2331|row=2031,1,2031,True,True,True,False
wifib|device=1|capture=23Jan|frame=2241|row=1949,1,1949,True,True,True,False
wifib|device=1|capture=23Jan|frame=2253|row=1957,1,1957,False,False,False,False
wifib|device=1|capture=23Jan|frame=2504|row=2186,1,2186,True,True,True,False
wifib|device=1|capture=23Jan|frame=2657|row=2317,1,2317,True,True,True,False
wifib|device=1|capture=23Jan|frame=2334|row=2034,1,2034,True,True,True,False
wifib|device=1|capture=23Jan|frame=2350|row=2050,1,2050,True,True,True,False
wifib|device=1|capture=23Jan|frame=2730|row=2380,1,2380,False,True,False,False
wifib|device=1|capture=23Jan|frame=2174|row=1898,1,1898,True,True,True,False
wifib|device=1|capture=23Jan|frame=2694|row=2350,1,2350,True,True,True,False
wifib|device=1|capture=23Jan|frame=2359|row=2059,1,2059,True,True,True,False
wifib|device=1|capture=23Jan|frame=2211|row=1921,1,1921,True,True,True,False
wifib|device=1|capture=23Jan|frame=2387|row=2085,1,2085,True,True,True,False
wifib|device=1|capture=23Jan|frame=2384|row=2082,1,2082,True,True,True,False
